true_sentiment,paraphrased_title
Neutral,EURUSD Price Analysis: 100-Day MA Doji Candlestick Prods Bears Around Mid-1.0500s
Negative,"GBPUSD Attempts to Surpass 1.1850, Downside Favored as Focus Shifts to US NFP"
Negative,"AUDUSD Price Analysis: Absence of Recovery Signals Favors More Downside, Eyes on 0.6500"
Neutral,"EURUSD Extends Recovery Above 1.0550, Downside Likely as US NFP Takes Limelight"
Negative,"EURCHF Unlikely to Benefit from Growing Optimism in Europe, Says MUFG"
Negative,"EURUSD Risks Gradual Decline to 1.0485, UOB Warns"
Negative,"EURUSD Not Trading at Stronger Levels Partially Due to ECB's Long Hesitation, Commerzbank Notes"
Negative,"GBPUSD Faces Next Support Around 1.1750, UOB Suggests"
Negative,"No Support Expected for the Yen, the Loonie, or Even the Aussie in the Near-Term, Says SocGen"
Neutral,"GBPUSD Clings to Modest Gains Around Mid-1.1800s Amid Softer USD, Lacks Bullish Conviction"
Neutral,"EURUSD Expected to Trade in 1.0500-1.0600 Range for Time Being, ING Predicts"
Positive,ECB's Villeroy: We Will Bring Inflation Back to 2% by End of 2024 or End of 2025
Positive,"USDJPY Now Eyes Potential Visit to 138.20, UOB Suggests"
Negative,"USDJPY Retreating Further from YTD Top Amid Weaker USD, Holds Above 136.00 Mark"
Neutral,"GBPUSD: 1.1650 Certainly Looks Like the Direction of Travel, ING Predicts"
Positive,EURUSD Regains Momentum and Rebounds from Two-Month Lows
Neutral,"AUDUSD Clings to Intraday Gains Above 0.6600 Mark, Limited Upside Potential Seen"
Neutral,"EURCHF: SNB to Prevent Move Above 1.00, Says Danske Bank"
Neutral,"GBPUSD Next Catalyst Likely to Still Come from USD Side of the Equation, Focus on NFP, OCBC Notes"
Negative,"EURCHF Expected to Trend Back Towards the 0.9800-0.9825 Area Over Coming Months, ING Predicts"
Negative,"EURUSD Expected to Consolidate Around 1.0520-1.0580 Range, OCBC Suggests"
Negative,"US Dollar Forecasted to Thrive as Rates Will Remain Higher for Longer, Rabobank States"
Negative,"USDJPY Price Analysis: Flirting with Daily Low Around 136.00, Attention Shifts to BoJ on Friday"
Negative,EURUSD Price Analysis: Potential for Additional Weakness in Near Term
Neutral,"BoJ Preview: No Change Expected at Final Meeting Under Kuroda, Forecasts from Major Banks"
Negative,GBPUSD Looks Towards Falling 100-Hour Moving Average
Neutral,USDJPY Retests the Moving Average Cluster
Negative,GBPUSD Faces Resistance at 1.1930 After Rebounding from YTD Lows at 1.1800s
Positive,EURUSD Pushes Against Swing Area Resistance
Neutral,EURUSD Traders Anticipate Critical Events
Negative,AUDUSD Price Analysis: Bears Eyeing Breakdown Below Key Resistance
Neutral,Forex Today: Risk-Off Sentiment and Mixed Dollar with Focus on NFP
Negative,"USDJPY Aims for Break Below 136.00 Amid Investors Digesting Fed's Rate Hike Fears, BoJ Policy Eyed"
Negative,AUDUSD Remains Fragile Below 0.6600 Ahead of US NFP Release
Positive,GBPUSD Grinds Higher Past 1.1900 Ahead of UK Data Release and US NFP Report
Negative,EURUSD Price Analysis: Offers Possible Amid Lack of Strength in Recovery Near 1.0600
Neutral,Japan Finance Minister Expects BoJ to Work Closely with Government
Negative,AUDUSD Price Analysis: Set for Breakdown Below 0.6580 Ahead of US NFP Release
Neutral,"EURUSD Bulls Test 1.0600 Amid Mixed US Data, Fed Hawks, US NFP, ECB's Lagarde Eyed"
Negative,USDJPY Price Analysis: Bears Moving In Ahead of BoJ Decision
Neutral,"GBPUSD Marches Towards 1.1950 Amid Ignored Aggressive Fed Bets, Focus on UK Data"
Neutral,Kazuo Ueda Approved as Next Bank of Japan Governor
Neutral,When is the BoJ Rate Decision and How Could It Affect USDJPY?
Neutral,"BoJ Keeps Monetary Policy and Yield Control Policy Unchanged, Breaking News"
Positive,"ECB Deposit Rate Expected to Peak at 3.75% or Higher as Inflation Persists, Reuters Poll Shows"
Neutral,BoJ Notes Heightened Inflation Expectations
Neutral,"USDJPY Experiences 100-Pip Whipsaw on BoJ's Status Quo, Attention Turns to Kuroda's Farewell"
Neutral,EURUSD Price Analysis: Bulls Await Validation from 1.0650 and US NFP to Maintain Control
Negative,AUDUSD Hits Four-Month Low at 0.6560 as Investors Await US NFP Release with Anxiety
Neutral,"GBPUSD Price Analysis: Holding Above 1.1900, Downside Favored"
Positive,USDJPY Price Analysis: Eyes Further Upside Above 137.00 as BoJ Maintains Ultra-Loose Policy
Neutral,When Are the UK Data Releases and How Could They Impact GBPUSD?
Neutral,BoJ's Kuroda: Will Not Hesitate to Ease Monetary Policy Further if Necessary
Positive,BoJ's Kuroda: Positive Effects of Monetary Easing Outweigh Side Effects
Positive,"UK GDP Grows 0.3% MoM in January, Surpassing Expectations"
Negative,"UK Manufacturing Production Declines 0.4% MoM in January, Below Expectations"
Positive,GBPUSD Climbs to Three-Day Highs Around Mid-1.1900s on Better-Than-Expected UK GDP
Negative,"EURUSD Still Expected to Grind Lower to 1.045, UOB Forecasts"
Positive,"AUDUSD Recovers Early Losses to Reach Fresh YTD High, Climbing Back to 0.6600 Amid Weaker USD"
Neutral,Commerzbank: Too Much Yen Weakness Would Not Be Justified
Negative,"GBPUSD Faces Further Weakness Below 1.1950, UOB Predicts"
Positive,"EURUSD Expected to Surge Toward 1.0700 on Soft NFP Report, ING Predicts"
Negative,"AUDUSD Faces Major Support Around 0.6500, UOB Suggests"
Negative,"BoE Monetary Policy Continues to Exert Pressure on Sterling, Commerzbank Observes"
Neutral,"USDJPY Appears to Consolidate After BoJ-Inspired Gains, Remains Below 137.00 Ahead of US NFP Report"
Positive,EURUSD Flirts with Three-Day Highs Around 1.0600 Ahead of US Payrolls
Neutral,"USDJPY Consolidates After BoJ-Inspired Gains, Remains Below 137.00 Ahead of US NFP Report"
Positive,"GBPUSD Bulls Approach 1.2000 Mark, Focus Remains on US NFP Report"
Positive,"USDJPY: Strong US Data Could Propel Pair Towards 140, TDS Predicts"
Negative,"EURUSD Could Experience Renewed Softness on Charts, Says Scotiabank"
Positive,"GBPUSD Pushes Back Above 100DMA at 1.2017, Expected to Boost Rebound, According to Scotiabank"
Positive,EURUSD Reaches Fresh Highs Near 1.0630 After Payrolls
Positive,GBPUSD Rallies Back Toward Weekly High Around Mid-1.2000s Following Mixed US Jobs Data
Negative,USDJPY Falls to Test Daily Lows Near 135.80 After NFP Release
Positive,"AUDUSD Hits Daily High Amid Post-NFP USD Sell-Off, But Lacks Follow-Through"
Negative,"USDJPY Could Experience Bigger Retracement, MUFG Warns"
Neutral,AUDUSD Moves Up But Encounters Resistance at 100-Hour MA
Positive,"EURUSD Expected to Rise Further to 1.1200 by Mid-2024, Commerzbank Predicts"
Positive,EURUSD Trades at New Session High as Yields Decline
Positive,"AUDUSD Expected to Sustainably Climb Back Above 0.7000 in Second Half of 2023, ING Forecasts"
Neutral,"USDCHF Forecasted to Reach 0.9500 in Three-Month View, Says Rabobank"
Positive,"US Dollar Continues Decline, Technical Analysis of USDCHF and GBPUSD, Reports Biggest Movers"
Neutral,USDJPY Tests 134.00 Area and Swing Area Target Between 134.068 and 134.150
Neutral,GBPUSD Analysis: Climbs Amid USD Weakness but Fails to Break 200DMA
Neutral,"Forex Today: DXY Ends Week Flat After Powell and NFP, Focus Shifts to US CPI, Wall Street Declines"
Positive,"EURUSD Climbs on High Inflation Data in Germany, USD Weakness Post US NFP"
Neutral,"AUDUSD Analysis: Bulls Encounter Resistance Near 0.6650, But Remain Committed"
Positive,EURUSD Gaps Up as US Dollar Faces Selling Pressure in Opening Trades
Positive,"AUDUSD Approaches 0.6650 Amid Easing Fears from SVB Fallout, Eyes Aussie Employment and US Inflation"
Positive,EURUSD Analysis: Bulls Target 200SMA as ECB Week Starts with Risk-On Sentiment
Positive,GBPUSD Bulls Test Bear Commitments at 1.2100
Positive,"USDJPY Bounces Off One-Month Low Toward 135.00 Amid Recovery in Yields, US Inflation, and BoJ Minutes"
Neutral,"AUDUSD Analysis: Bulls Meet Resistance Near 0.6650, But Remain Firm from 0.6600"
Positive,Japan's Matsuno: No Major Impact on Japanese Financial Companies from SVB Fallout
Neutral,Chinese President Xi Urged to Firmly Oppose External Interference and Taiwan Split
Positive,"EURUSD Bulls Celebrate SVB-Led Risk-On Sentiment, Easing Fed Rate Hike Expectations, Targeting 1.0700 Level Ahead of US Inflation and ECB Meeting"
Positive,GBPUSD Analysis: Bullish Momentum Pushes Beyond 50DMA Resistance at 1.2100 as Key Week Commences
Negative,USDJPY Falls to One-Month Low Near 134.00 as Bears Approach 50DMA
Positive,AUDUSD Records Largest Surge in Nine Weeks Amid SVB and Fed-Led Risk-On Sentiment
Positive,EURUSD Analysis: Bulls Test Resistance Confluence Near 1.0730
Neutral,"EURUSD Expected to Consolidate in Near Term, According to UOB"
Neutral,"GBPUSD Outlook Remains Mixed, UOB Reports"
Negative,"AUDUSD Forecast: Decreased Likelihood of Drop to 0.6500, Notes UOB"
Positive,"USDJPY Faces Strong Support Near 133.00, Predicts UOB"
Positive,"EURUSD Poised to Extend Rally Toward 1.0780-1.0800, ING Forecasts"
Neutral,"GBPUSD Not Expected to Surge Above 1.2200, ING Analyzes"
Positive,EURUSD Continues Sharp Rebound Above 1.0700
Negative,"US Yield Curve Inversion Could Lead to Dollar Depreciation, ING Warns"
Positive,"Euro Likely to Benefit from Fed's Monetary Policy, Commerzbank Predicts"
Positive,"AUD and CAD Expected to Consolidate Before Strengthening Later in the Year, HSBC Forecasts"
Positive,"EURUSD Strengthening Trend Remains Firm Ahead of ECB Meeting, MUFG States"
Negative,"GBPUSD Price Action Indicates Weakness for the Pound, Scotiabank Observes"
Negative,USDJPY Drops to 133.50 as Bearish Sentiment Dominates for USD
Neutral,AUDUSD Approaches 200-Hour MA Once Again
Neutral,"Technical Levels in Focus for EURUSD, USDJPY, and GBPUSD"
Negative,"EURUSD Expected to Decline Further Below 1.0635, Scotiabank Predicts"
Positive,EURUSD Analysis: Bulls Eyeing 1.0800 Level and Beyond
Positive,EURUSD Breaks Into Swing Area and Surpasses 1.0700 Mark
Neutral,"EURUSD Volatile Sideways Movement Expected Around 1.0800, Says Erste Group"
Positive,GBPUSD Surges to One-Month Highs Above 1.2150 as DXY Weakens
Positive,"GBPUSD Hits New Session Highs, Extending Beyond Recent Swing Highs"
Negative,"JPY and EUR Expected to Benefit, NZD and AUD to Gain Most in Mild Recession, SocGen Predicts"
Positive,AUDUSD Skyrockets to 0.6718 Amid SVB Bank Collapse
Positive,"ECB Plans 50 bps Hike Despite SVB Collapse, Reports MNI"
Neutral,USDJPY Moves Toward 200-Bar MA on 4-Hour Chart
Positive,EURUSD Bulls Advance Ahead of US CPI Release
Negative,GBPUSD Analysis: Bears Aim to Break Structure as Price Slows Below 1.2200
Negative,USDJPY Bulls Anticipate Correction Ahead of US CPI
Positive,"EURUSD Bulls Optimistic Above 1.0700 Amid Decrease in Hawkish Fed Bets, Eyes US Inflation"
Positive,GBPUSD Trades Near One-Month Highs Below 1.2200 Ahead of UK Employment and US CPI Data
Positive,UK Chancellor Hunt Announces English Investment Zones Ahead of Budget
Neutral,AUDUSD Drifts Lower from 0.6700 Ahead of US CPI Release
Negative,"USDJPY Hovers Above 133.00, Downside Likely Amid Continued Soft Rate Hike Spell by Fed"
Positive,GBPUSD Analysis: Bulls Ready to Demonstrate Their Commitment
Negative,AUDUSD Slides to 0.6650 as Markets Adjust for SVB-Led Moves Before US Inflation Data
Positive,EURUSD Analysis: Bulls Lead Pair Above 1.0700 Amid Weakness in US Dollar
Neutral,Japan's Suzuki Monitors Impact of SVB Case on Economy and Financial Conditions
Positive,USDJPY Approaches 134.00 Ahead of US CPI Release
Negative,GBPUSD Extends Decline Near 1.2150 Ahead of UK Employment and US Inflation Data
Neutral,AUDUSD Analysis: Rebound From 0.6560 Stalls at Descending Trend Line
Neutral,EURUSD Seeks Support Around 1.0700 Amid Fed's Cautious Rate Hike Approach After SVB Collapse
Neutral,When Are the UK Jobs Data and How Could They Impact GBPUSD?
Positive,USDJPY Nears 134.00 Mark in Rebound Ahead of US CPI Release
Positive,"GBPUSD Expected to Sustain Gains Above 1.2440, According to UOB"
Neutral,"UK ILO Unemployment Rate Steadies at 3.7% in January, Beating Expectations"
Negative,"GBPUSD Rebounds from Daily Low Following UK Jobs Data, Remains Below 1.2200 Amid Strong USD"
Neutral,ECB's Stournaras: No Impact from SVB Collapse on Eurozone Banks
Neutral,"EURUSD Rally Depends on Fed's Reaction, Says ING"
Negative,"AUDUSD Stalls Above Mid-0.6600s Amid Positive Risk Tone, Increased Demand for USD"
Negative,"USD Index Faces Risks of Further Decline, ING Warns"
Negative,"EURUSD Under Pressure, Dips Below 1.0700 Ahead of US CPI Release"
Positive,"Hawkish ECB Expected to Support EUR, Contingent on No Contagion Effects in European Banking Sector, Says Commerzbank"
Negative,"USDJPY Faces Potential Pullbacks in Near Term, UOB Suggests"
Neutral,"GBPUSD Trades with Modest Losses Around Mid-1.2100s, Attention Turns to US CPI Report"
Positive,"GBPUSD Poised to Test January Highs at 1.2450 Despite Possible BoE Hold, ING Predicts"
Positive,USDJPY Rebounds from 133.04 Ahead of Tuesday's US CPI and BoJ Minutes
Positive,"GBPUSD's Technical Condition Appears Relatively Strong, According to Scotiabank"
Neutral,"EURUSD Breaks Above 55-Day Moving Average at 1.0719, Boosting Near-Term Outlook, Scotiabank Reports"
Positive,EURUSD Continues Upside Movement Near 1.0750 After US CPI Release
Neutral,"AUDUSD Lacks Clear Direction, Remains Range-Bound Below 0.6700 After US CPI"
Negative,"AUDUSD Likely to Face Resistance Around 0.6780-0.6850, SocGen Predicts"
Positive,"USDJPY Rises Toward 135.00 After US CPI Release, Boosted by Treasury Yields"
Neutral,"EURUSD Rebound May Be Limited, SocGen Suggests"
Positive,"EURUSD Expected to Approach Early February Highs Above 1.0800 on Hawkish ECB Press Conference, SocGen Predicts"
Negative,"USDCHF and USDJPY Rallies Likely to Fade, TDS Warns"
Negative,EURUSD Slips Just Below Tuesday's Opening Price of 1.0729
Neutral,AUDUSD Bulls Encounter Resistance Near 0.6700 Amid Uncertainty in Fed's Direction
Neutral,GBPUSD Stabilizes at Highs as Buyers and Sellers Wrestle in a 68-Pip Range
Neutral,GBPUSD Bulls Face Barrier Near 1.22 Ahead of UK Budget Announcement
Positive,USDJPY Analysis: Bullish Momentum Targets 135.00 Level
Positive,AUDUSD Aims to Reclaim 0.6700 as Concerns over Aggressive Fed Rate Hikes Ease
Neutral,UK Chancellor's Budget Focus Likely on Growth Amid Debt Constraints
Positive,EURUSD Analysis: Bulls Remain Confident Above 1.0700 After US CPI Release
Negative,GBPUSD Analysis: Further Decline Depends on Break Below 1.2135 and UK Budget News
Neutral,BoJ Meeting Minutes: Members Agree on Expected Recovery of Japan's Economy
Positive,"USDJPY Approaches 134.50 Level After Dovish BoJ Minutes, Attention Shifts to US Retail Sales"
Negative,AUDUSD Analysis: Bulls Encounter Resistance Below 0.6700 as Momentum Fades
Neutral,GBPUSD Hovers Around Mid-1.2100s Amid UK Budget and US Retail Sales Uncertainty
Neutral,"China's Retail Sales Up 3.5%, Industrial Output Grows 2.4% in Jan-Feb"
Positive,AUDUSD Likely to Reclaim 0.6700 Despite Mixed China Data and PBOC Inaction
Negative,EURUSD Bulls Weakening Ahead of ECB Meeting and Post-US CPI
Neutral,"China's Economic Operations Show Signs of Stabilization and Recovery, NBS Reports"
Positive,Japan's Suzuki: Government Aims for Wage Increases to Outpace Inflation
Negative,USDJPY Analysis: Justifies Bearish Trend with Minor Losses Near 134.00
Neutral,BoJ's Kuroda Discusses SVB Collapse Impact on Global Markets Post-BIS Meeting
Neutral,"EURCHF Expected to Trade in Range of 0.9700-1.0000 Following SNB Meeting, Says Credit Suisse"
Negative,"EURCHF Analysis: Potential Move to 0.9411 Lows, Predicts Credit Suisse"
Positive,EURCHF Analysis: Double Bottom Reversal Activates Amid Ongoing Issues at Credit Suisse
Negative,AUDUSD Falls to Swing Area and 100-Hour MA
Negative,USDJPY Drops to New Session Low in Early US Trading
Positive,GBPUSD Analysis: Pair Bounces Back from 21-Day Moving Average Amid Weak USD Demand
Positive,AUDUSD Analysis: Inches Closer to Weekly High Above 0.6700 Amid Strengthening Risk-On Sentiment
Positive,GBPUSD Bulls Push Towards 1.2150 Ahead of UK and US Consumer Inflation Expectations
Neutral,"BoJ's Kuroda: Possibility of Further Reduction in Short-Term Interest Rates, No Official Comment Yet"
Neutral,"GBPUSD Maintains Consolidative Mood, Says UOB"
Neutral,"AUDUSD Still Expected to Trade Within 0.6570-0.6735 Range, According to UOB"
Positive,"AUDUSD Analysis: Potential for Gains if Market Confidence Continues to Stabilize, Notes OCBC"
Neutral,Japan's Top FX Diplomat Kanda: Govt and BoJ Must Be Prepared for Seamless Response to Market Movements
Positive,AUDUSD Near Two-Week High Above 0.6700 Amid Positive Risk Tone and Weaker USD
Neutral,PBOC Reduces Banks' Reserve Requirement Ratio by 25 bps
Neutral,BoE Survey: UK Public's Inflation Expectations for Coming Year Decline to 3.9% in February
Positive,"Limited Potential for Franc's Depreciation, Says Commerzbank"
Neutral,"GBPUSD Holds Above 1.2100 Amid Weaker USD, Trims Intraday Gains"
Negative,"USDJPY Analysis: Potential for Further Losses in Near Term, Indicates UOB"
Negative,"USDJPY Rebounds from Daily Low, Remains Above 133.00 Amid Banking Crisis Concerns"
Neutral,GBPUSD Bounces from 200-Hour MA and Revisits 100-Hour MA
Negative,AUDUSD Retreats from Near Two-Week High Below 0.6700 Amid Risk-Off Sentiment
Negative,USDJPY Tests 132.00 as US Yields Decline
Positive,"GBPUSD Steadies Near 1.2150, On Course for Weekly Gains"
Neutral,"USDJPY Approaches Falling 100-Hour MA, A Key Technical Level"
Negative,"Yen Strengthens Ahead of Fed, SNB, BoE, and PMIs"
Negative,USDJPY Nears Yesterday's Low
Neutral,EURUSD Trades Within Range After 50 Basis Point Hike
Neutral,"AUDUSD Higher on the Day, But..."
Positive,GBPUSD Buyers Active Above 100-Hour Moving Average
Neutral,EURUSD Experiences Volatile Day
Negative,EURUSD Declines Amid Concerns About Banking Sector Comments
Positive,EURUSD Continues to Rise Towards Weekly Close
Positive,AUDUSD Analysis: Bulls Target Break Above 0.67s
Positive,"GBPUSD Surges at Market Open, Testing 1.2200 Level"
Positive,RBA's Kent: Australian Banks Remain Strong
Positive,"AUDUSD Climbs Above 0.6700 on Credit Suisse News, RBA's Kent Statements, Eyes on Fed"
Neutral,USDJPY Rebounds from 131.60 Level Amid Joint Efforts from Global Central Banks on Liquidity
Neutral,BOJ Board Emphasizes Need to Maintain Easy Policy
Positive,GBPUSD Looks to Upside Above 1.2200 Amid Positive Sentiment on Credit Suisse Buyout
Positive,AUDUSD Analysis: Bulls Aim for 0.6750
Neutral,People's Bank of China Sets 1-Year Loan Prime Rate at 3.65%
Positive,"USDJPY Responds to Firmer Yields, Central Banks' Liquidity Infusion Efforts"
Neutral,Japan's Matsuno: Financial System Stable as a Whole
Neutral,GBPUSD Analysis: Bulls Step Back from Multi-Day Hurdle Near 1.2210
Negative,"AUDUSD Retraces Early Gains, Drops Below 0.6700 Level"
Negative,USDJPY Analysis: Potential for Further Downside Below 131.50
Negative,GBPUSD Struggles to Regain 1.2200 as Investors Turn Anxious Ahead of Fed and BoE Policies
Neutral,Forex Today: Markets Cautious at Start of Important Fed Week
Positive,EURCHF: Commerzbank Predicts Moderate Weakness Against Euro
Negative,"EURUSD Forecasted to Decline Toward 1.02 in Coming Months, Says Danske Bank"
Negative,"AUDUSD Expected to Stay Below 0.68 in Coming Months, According to Danske Bank"
Positive,ECB's Kazaks: ECB May Continue Rate Hikes if Baseline Holds
Neutral,"EURUSD Maintains Consolidative Phase, Notes UOB"
Negative,"USDJPY Forecasted to Drop Toward 125 Level, Says Danske Bank"
Positive,"GBPUSD Expected to Gain Further Above 1.2220, Predicts UOB"
Negative,EURUSD Struggles Near 1.0700 Region Ahead of Lagarde Speech
Positive,"AUDUSD Upside Target Now at 0.6780, According to UOB"
Positive,"USDJPY Recovers Slightly from One-Month Low, Finds Support Near Mid-13000s"
Negative,"GBP Under Pressure Due to Monetary Policy, Notes Commerzbank"
Positive,"GBPUSD Maintains Modest Gains Around 1.2200 Mark, Below Multi-Week High"
Negative,"USD Weakness May Cause Dollar Losses Later in the Week, Predicts ING"
Negative,"EURCHF Expected to Decline Slightly Due to Fundamentals and Tightening Financial Conditions, Says Danske Bank"
Negative,Germany's Bundesbank Forecasts Contraction in German Economy in Q1
Negative,AUDUSD Remains Depressed Near 0.6700 Level Despite USD Selling Pressure
Positive,"GBPUSD Expected to Hold and Extend Gains, Notes Scotiabank"
Negative,"USDJPY Could See Further Losses Below 131.50, Predicts UOB"
Positive,EURUSD Analysis: Extra Gains Could Lead to Retesting of 1.0760 Level
Positive,"GBPUSD Rallies to Over One-Month High, Targets Mid-1.2200s Amid USD Weakness"
Positive,"EURUSD Expected to Rally if Fed Signals on Wednesday, Says Scotiabank"
Positive,"USDJPY Rebounds from One-Month Low, Recovers Major Part of Early Losses"
Negative,ING: Unlikely 50 bps Fed Hike Would Boost Dollar
Positive,Lagarde Speech: Inflation Projected to Remain High for Extended Period
Positive,EURCHF Climbs to Multiday Highs Above 0.9900 Level
Neutral,"GBP Resilience May Be Tested, Fundamentals Better than Before, Says MUFG"
Neutral,"Lagarde Speech: Eurozone Banks' Exposure to Credit Suisse in Millions, Not Billions"
Positive,"EURUSD Rises on Positive Sentiment from ECB Speakers, Eyes on Lagarde"
Positive,"EURUSD Hits New Session High, Moves Above Key Resistance Area"
Neutral,"Lagarde Speech: Eurozone Banks' Exposure to Credit Suisse in Millions, Not Billions"
Neutral,"AUDUSD Oscillates Around 20-Day EMA Amid Risk-On Mood, RBA Minutes Awaited"
Positive,GBPUSD Analysis: Bulls Approach Resistance Area
Neutral,"Forex Today: Currency Markets React to Improved Sentiment, Focus Shifts to Fed"
Neutral,EURUSD Holds Above 1.0700 Amid Deepening Uncertainty over Fed Policy
Positive,"AUDUSD Near Two-Week High Above 0.6700 as Banking Collapse Fears Ease, RBA Minutes Awaited"
Neutral,USDJPY Dips Below 131.50 Mark as Attention Turns to Upcoming FOMC Meeting
Positive,ECB's Holzmann: Focus on Combating Inflation
Positive,"USDJPY Reverses Losses, Supported by Higher Yields"
Positive,GBPUSD Breaks Above One-Month High
Positive,GBPUSD Hits New Highs
Negative,GBPUSD Rally Stalls Near 1.2280 Amid Banking Crisis and Brexit Uncertainty
Neutral,RBA Minutes: Impact on AUDUSD and Timing
Positive,"AUDUSD Bounces from 100-Hour Moving Average, Breaks Above Resistance Level"
Positive,RBA Expects Further Tightening of Monetary Policy to Tackle Inflation
Negative,USDJPY Analysis: Bears Target Break Below 131.20
Negative,AUDUSD Drops Below 0.6700 on Less-Hawkish RBA Minutes
Neutral,EURUSD Analysis: Revisits Descending Trendline Before FOMC Meeting
Negative,GBPUSD Analysis: Bears Test Key Support Level
Negative,AUDUSD Analysis: Uptrend Snapped as Bulls Face Resistance Near 0.6700
Neutral,EURUSD Remains Above 1.0700 as Investors Brace for Fed Policy
Neutral,USDJPY Resilient Around 131.00 Mark as Markets Await Fed's Next Move
Negative,GBPUSD Corrects Near 1.2250 Amid USD Index Recovery and Fed Policy Speculation
Positive,EURCHF Analysis: Eyes 1.0000 Level Amid Credit Suisse's Troubles
Neutral,"ECB's Kazaks: High Uncertainty in Financial Markets, but EU Banks Well Capitalized"
Negative,AUDUSD Dips Below 0.6700 as RBA Minutes and Fed Policy Take Center Stage
Neutral,"EURUSD Analysis: Bulls Pause, Key Support at 1.0660"
Negative,ECB's de Cos: Market Expectations of Rate Hike Cannot Be Confirmed
Neutral,"EURUSD Seen Trading in 1.0600-1.0800 Range, Notes UOB"
Positive,"USDJPY Analysis: Rebounds from Five-Week Low Near 131.50, Weekly Resistance in Focus"
Neutral,"GBPUSD Outlook: Eyes 1.2400 Level, According to UOB"
Neutral,"USDJPY Analysis: Next Significant Support at 129.80, UOB Notes"
Positive,"EURUSD Calms AT1 Bond Market, Supporting Euro - ING"
Negative,"GBPUSD Risks Tilted Downward, Morgan Stanley Warns"
Negative,"GBPUSD Retreats from Multiweek High, Dips Below Mid-1.2200s Amid USD Strength"
Positive,"EURUSD Extends Uptrend, Targets March High Near 1.0760"
Neutral,"USDJPY Climbs Steadily to 132.30 Amid Positive Sentiment, Limited Upside Seen"
Negative,German ZEW Economic Sentiment Index Declines More Than Expected in March
Negative,"AUDUSD Remains Under Pressure, Inspired by Dovish RBA Minutes, Below 0.6700"
Positive,"GBPUSD Potential for More Gains Towards 1.2500 Area on Break Above 1.2300, Scotiabank Suggests"
Positive,EURUSD Crucial to Surpass 1.0800 Level to Negate Potential Head and Shoulders Pattern - SocGen
Positive,GBPUSD Break Above 1.2270-1.2300 Clears Path to December Peak Near 1.2450 - SocGen
Neutral,"EURCHF Stalls Below Key Resistance Zone, Consolidation Persists - SocGen"
Negative,EURUSD Vulnerable to 50 bps Fed Rate Hike or Dots Revision - SocGen
Neutral,"GBPUSD Analysis: Holding Ground Around Mid-1.2200s, Downside Supported"
Neutral,"AUDUSD Consolidation Pattern Observed, Breakout Awaited"
Neutral,USDJPY Technical Levels Analyzed Amid Resistance and Rising Yields
Positive,"EURUSD Continues Bullish Momentum, Bouncing Off Yesterday's High"
Neutral,GBPUSD Nears Key Support Level: Analysis and Future Scenarios
Positive,"EURUSD Climbs Above 1.0700 on Positive Sentiment, Weakening US Dollar"
Positive,"GBPUSD Bulls Active, Targeting Bullish Extension"
Positive,"USDJPY Bulls Eye Key Resistance Near 132.60, Support Levels in Focus"
Negative,"Market Sentiment Improves Before Fed Meeting, DXY Resistance Persists"
Neutral,AUDUSD Struggles to Break 0.6670 Barrier as Investors Grow Anxious Ahead of Fed Decision
Neutral,"GBPUSD Faces Resistance Above 1.2200, Watchful of UK Inflation, Brexit Vote, and Fed Meeting"
Positive,EURUSD Analysis: Upside Momentum Strong Despite Fed's Preparation for Rate Hike Amid Banking Turmoil
Neutral,USDJPY Stability Around 132.50 as Market Awaits Fed Decision
Positive,Japan's Matsuno: Allocating Over 2 Trillion Yen to Counter Economic Impact of Rising Prices
Negative,"EURCHF Analysis: Drops Below 200EMA, Focus on 0.9900 Level"
Neutral,Japan's Finance Minister: Financial System Stable
Positive,GBPUSD Analysis: Above 1.2200 Supported by 50DMA
Negative,"EURUSD Reflects Pre-Fed Anxiety Below 1.0800, Attention on ECB's Lagarde"
Neutral,AUDUSD Analysis: Bulls and Bears Wrestle Ahead of Fed Decision
Neutral,Japan Economy Minister: 2 Trillion Yen Reserves for Price COVID Measures
Positive,USDJPY Analysis: Bulls Target 50DMA Resistance Around Mid-13200s
Neutral,Japan's Suzuki: Stable Forex Movement Reflecting Fundamentals Important
Neutral,AUDUSD Hovers Below 0.6700 as Market Awaits Fed Decision
Neutral,EURUSD Analysis: Monthly Triangle Signals Momentum Traders Near 1.0780 Ahead of Fed Meeting
Neutral,USDJPY Around 132.50 Amid Fed Meeting Anticipation
Neutral,ECB's Nagel: Approaching Restrictive Territory
Neutral,UK Inflation Data Release: Potential Impact on GBPUSD
Positive,AUDUSD Rebounds to 0.6700 as Yields Pressure US Dollar Before Fed Meeting
Neutral,"UK Annualized CPI Inflation Jumps to 1.04 in February, Beating Expectations"
Positive,"EURUSD Likely to Sustain Gains Above 1.0800, UOB Predicts"
Positive,"GBPUSD Rises Above Mid-1.2200s, Eyes Multi-Week High on Stronger UK CPI Print"
Neutral,GBPUSD: UOB Sees Diminishing Bets for Move to 1.2400
Neutral,AUDUSD: UOB Notes Loss of Momentum in Further Upside
Neutral,"USDJPY Enters Consolidation Phase, UOB Observes"
Neutral,USDJPY Consolidates Near Mid-13200s Before Fed's Decision
Neutral,Lagarde: ECB Not Committed to Further Rate Hikes Yet
